From Account,To Account,Amount
179179,420649,904
390916,715536,168
597731,127403,841
796861,356557,217
335814,919184,875
1001961,445473,960
266920,482989,853
552520,163629,196
173091,1017237,70
427959,915417,938
893617,277254,446
132049,797026,957
268043,822308,205
952030,261439,132
248053,1021312,568
143918,725677,80
147122,367836,178
1096121,434551,299
239983,564715,943
776544,1033910,99
443123,201875,442
369525,397342,318
443810,114976,252
649551,228336,82
336733,630831,477
845861,185402,381
854468,659708,445
913643,102369,579
993522,887338,957
829997,632977,844
155325,102948,634
844071,208006,235
381048,192555,439
614097,534113,312
627095,679160,210
318107,720222,223
873712,881796,33
221281,768119,168
234936,974622,729
704638,252486,255
991852,1020501,20
131852,1092448,658
829842,208499,964
574022,289546,32
558853,937411,146
961286,418564,410
246501,540504,612
352740,163716,590
199858,637405,97
571103,246299,842
229603,187359,39
781863,501989,866
123836,807892,197
720170,234751,358
527674,873624,763
154741,365785,732
893718,205021,151
115663,923689,128
671351,109381,936
928617,135120,972
958737,223918,151
907574,1057343,448
684493,363999,276
134804,313120,94
676789,242970,422
1076696,793618,24
537085,391242,423
975131,425678,272
435699,245137,31
563692,411182,729
914713,271140,100
262386,174132,698
465407,623296,905
940338,566930,592
771114,520173,197
209275,368900,139
751043,881354,301
581096,930311,398
124216,260380,887
124999,473651,168
927735,656489,303
716431,967956,801
183408,867910,820
1033007,682874,580
787348,563308,554
304993,977816,896
1094632,700980,422
272982,358207,211
390895,338517,913
571929,718969,911
553606,595464,516
154821,404376,493
689642,446807,217
1055143,372480,292
596167,174483,724
956011,787768,21
343053,135217,705
103927,1044687,497
507108,977406,164
524729,252971,867
960443,811251,808
819493,850930,897
191959,755867,771
925279,176707,433
766601,432467,750
109063,499739,505
660676,655376,746
258094,1013214,468
740722,806452,596
974431,319282,55
740091,494120,539
474514,968967,604
919661,1062395,332
754724,616464,978
476962,187518,853
390130,1096065,336
995047,152086,552
401460,350868,660
650488,709582,975
887662,384299,797
142036,552467,373
701280,812373,468
966333,380449,785
1063165,504646,307
802025,878369,736
757211,341248,848
928886,953501,124
360489,151706,649
1034349,269678,537
137289,1089540,95
867989,464240,28
548209,1023167,281
335349,358501,531
284841,296881,969
943998,1055775,443
687746,611328,620
1003894,1098443,993
174183,1078439,687
970924,785591,10
649049,325154,135
126012,349629,189
1030536,652337,172
347898,867672,451
980161,736522,940
1014785,144017,770
568954,227449,52
261638,887073,192
432941,496454,936
200929,569039,440
1076223,245663,592
303736,367875,152
744122,973547,539
201203,819858,107
141055,528363,626
322281,917102,68
771915,897443,646
998778,453384,918
330480,424234,381
926055,188442,29
356745,557970,597
845696,342091,97
743274,906589,647
438750,512315,962
549630,228503,141
523659,213667,417
629139,804884,418
1095833,886221,231
129686,347893,550
895153,593954,783
793644,1091106,177
696814,898368,296
805562,486748,871
155918,165858,708
315966,740721,364
827712,441992,122
1065745,959434,987
1043103,577381,896
1043693,857533,943
892199,385355,489
924828,156820,121
366895,149458,234
661728,300710,326
208050,691248,533
351797,1046410,958
691253,936464,556
860882,1033830,881
686549,140873,779
432365,524478,602
516424,943241,975
975488,841131,898
725222,1074789,194
517320,426029,726
619315,626566,384
204534,487750,623
645706,114108,989
186846,273598,505
556074,172842,627
963648,857993,698
304501,316351,265
363927,811440,792
606310,496469,733
284531,817336,865
470679,826308,773
646155,984474,361
464533,793182,242
824095,696093,360
237531,107924,521
501309,101459,165
488242,435124,393
438041,144775,528
814865,384793,472
342651,308728,56
989883,592987,610
981361,822740,944
180404,597295,388
1025180,573332,777
360905,795655,125
875061,151026,564
829902,930830,56
310109,532770,134
224449,706208,939
304871,280622,823
1078399,426841,455
872224,483766,213
818929,1021337,293
206410,395691,13
773285,221199,906
860811,906050,149
1030591,290933,480
853132,836796,750
719199,1000787,583
964162,570173,864
751426,499807,222
656793,814741,281
533362,639074,229
442121,624422,897
136187,434542,469
879364,453474,958
459605,289880,232
318658,563887,461
748838,702267,714
368539,136386,372
716176,823015,651
122822,516350,560
577010,887079,402
712142,628630,30
556744,676574,980
1099754,561685,203
301465,250421,283
874756,423995,498
365598,480922,50
147160,239066,499
544400,934535,452
959234,418848,419
681726,928212,963
476496,829305,667
386471,1017345,753
909696,233785,170
480828,682831,434
954050,421613,575
542260,954560,787
496019,990232,578
918752,831972,443
353554,1027686,149
877745,1060286,913
793977,604389,177
924875,558452,196
470641,654222,590
490542,685645,205
1029324,460780,147
585211,209585,344
464666,622188,904
1093160,294836,986
1085390,223644,868
1034225,140945,982
391288,823154,923
787265,257393,860
946901,1033240,361
386810,1062168,324
868507,694234,664
121041,395604,153
391003,598573,48
907795,323401,330
1056154,493619,540
923681,976701,266
117869,275692,239
1019822,267698,299
164753,1081538,289
264512,298746,748
733238,254234,332
1032858,113753,109
878336,378892,107
719286,274504,338
396656,328586,194
506631,878926,472
337348,248633,283
857438,526765,644
293871,1088212,185
531375,334551,456
525309,354907,529
231320,565175,272
673169,302566,825
426841,491322,765
901508,416917,388
892196,806812,347
325966,762304,386
926911,635058,988
377103,118943,398
152018,534134,147
475744,888517,622
833816,296506,130
464492,164718,664
245726,306529,855
877527,1061557,532
124152,975159,359
662687,479481,892
998304,607419,291
678852,994111,128
786780,582221,253
528929,517790,716
450153,749888,899
490055,427963,67
729931,655177,416
255167,735787,840
639986,957769,928
206080,566014,412
654366,426542,251
579795,790466,969
1084470,470631,887
227223,414414,189
802601,916134,397
1058602,157788,962
314983,523753,827
874288,261436,918
317882,523471,255
895610,224375,81
480581,923439,652
879863,316569,664
308230,707943,504
1022470,959634,459
978451,996273,918
267019,154058,806
167980,296990,561
111128,812125,594
998379,975832,962
357074,726141,965
228250,1039999,353
943267,780343,855
473850,405503,971
719522,1071748,579
403604,817859,816
697468,234776,157
649230,290447,407
298703,652680,944
1085659,501498,444
487228,913686,403
274322,786621,485
924062,272670,65
1015091,235870,738
1028859,734027,145
127204,212266,983
785293,738367,754
972805,778302,261
861619,649500,492
281158,336990,987
582276,558940,464
974315,350860,413
851640,683420,586
714232,1079209,498
698533,203029,361
1021459,333836,999
498392,672791,36
151918,631710,365
602163,166098,222
841027,802529,707
900316,419380,422
1000613,412341,878
340394,556402,782
751748,901118,519
696930,883899,950
597273,595845,319
659044,368424,164
530530,397934,841
657821,911164,615
494682,437155,928
266410,873646,573
687959,549065,779
397235,250712,17
306308,126306,364
498599,338009,180
552784,872252,652
1063225,720226,451
349653,220400,97
649261,686227,581
657807,544315,518
794006,330982,209
590432,846483,163
784235,952367,323
643896,101389,867
688058,949202,928
319336,618693,940
879988,560031,395
211185,775292,382
629378,588858,709
415569,457082,161
959092,372553,635
474665,853472,806
709363,663550,310
737912,552628,453
1054010,825472,261
403522,1098447,980
745176,600911,956
895978,417479,687
348517,631319,844
159441,194732,858
380416,462615,467
299833,660984,983
914741,924375,474
773770,581777,183
839519,1062591,712
177202,621492,903
655863,996505,612
127169,385250,673
939913,120146,804
145076,936887,39
379284,910262,421
217172,519480,512
1083854,486663,701
587427,133955,105
1000126,978339,492
350061,296303,337
404861,221284,309
839938,365569,313
1099968,167971,876
988844,580244,901
543873,917895,818
770918,639040,923
516778,119324,825
799210,883254,792
809242,459399,183
1062415,400017,317
293470,627219,58
692192,616336,552
732864,239936,652
958681,504836,359
666946,697915,330
315630,455448,192
198498,396532,608
506648,183497,909
991498,730992,680
1069760,225904,573
731838,863637,239
829706,372334,198
996777,615498,350
1092436,343854,511
480549,243943,127
399854,958009,941
525405,699733,524
976159,395282,29
226838,454731,418
503930,576042,998
158364,1035940,472
906966,145676,24
1094781,165983,353
860529,694488,560
303718,376781,848
1075088,215728,969
397263,555785,930
519195,773293,607
441072,713335,241
251473,228991,537
128011,790940,315
695318,394503,308
970930,154328,893
988459,823387,479
173784,279514,174
1065298,344117,667
593815,896515,304
757893,966350,204
793214,1026591,957
1054435,888788,270
508807,203814,240
797446,441727,265
190731,809830,200
156599,815628,169
651098,758041,970
684307,903355,388
1025547,781294,195
635118,477683,552
110947,297946,684
565628,1054885,969
742764,1040317,523
858384,848581,933
913567,763805,865
578302,440130,289
663029,778510,571
343586,363973,573
138561,333385,899
702954,694571,623
804265,568654,779
907290,416060,365
242659,275205,645
875627,319191,331
1074757,1034439,663
314106,1010132,783
1066195,550009,826
1030701,486156,754
162586,312360,868
276866,193816,734
369279,542745,283
804322,654826,729
918224,870629,463
992581,707283,598
1069319,590691,945
911591,104541,619
570753,818368,61
764836,536523,42
387430,295282,518
773771,645734,986
175991,1084402,153
1051617,767073,121
517636,725810,960
670776,712396,419
760266,329771,612
189779,262479,59
181028,1060539,333
892786,231532,707
604961,557565,90
274816,499333,873
836397,185539,27
334341,191586,85
147659,672159,113
832721,256937,891
981663,868659,362
432388,731354,295
665857,638614,307
1090343,648690,864
1043163,304099,153
804981,820544,841
749636,905271,508
374483,1080361,507
1098263,502826,305
123729,527753,766
442133,941008,462
948330,115139,690
967654,419477,513
601135,900452,648
509150,909293,435
345983,785318,568
444264,826560,504
1023624,968073,190
836132,362431,167
546674,850687,855
677788,278857,409
544990,1088100,776
458926,967967,765
475310,983685,555
309574,497193,893
750590,142630,875
230654,315960,911
423352,238485,116
451462,167399,11
800813,652720,153
858033,258187,83
702251,609585,215
544383,713901,39
229416,992101,758
1080958,459797,301
714184,662751,926
284200,993859,967
770188,133395,327
1014928,861843,264
840050,192483,168
860411,1081761,96
685469,884230,292
901513,185646,734
969408,170913,843
161728,967654,483
859882,115313,643
488860,125499,713
460211,1022938,198
784253,279855,605
477078,793537,122
945486,169441,639
1052622,186185,281
635525,596172,247
252666,368393,108
110610,516582,673
464205,231906,19
373026,405780,694
555630,531084,153
758087,1042060,318
860598,593199,638
744232,145121,132
225007,910066,411
890007,547229,762
349524,962063,931
668576,801629,745
323555,698130,682
135733,388878,268
1065674,740437,510
473557,1085507,829
137472,501792,683
255867,851848,89
136971,997890,583
329350,782058,343
707603,479100,851
920807,370571,216
123568,118759,992
855793,222980,325
1032293,254815,324
890616,772915,898
344875,1073378,57
1004097,754540,692
352960,215915,295
576946,705637,253
298273,606075,834
898716,853733,594
709848,430614,459
690803,308108,504
728028,298018,797
485588,810792,289
671501,798778,40
107960,1011716,204
175781,489616,446
1060847,1011485,70
300950,371588,298
332984,255456,471
688119,877696,929
622621,270898,538
797120,863359,183
118948,502415,733
241944,1001297,475
384254,727632,560
396700,558917,975
939521,796258,600
483595,209602,42
995926,518194,236
181695,444489,277
822699,982321,900
440296,1012562,859
633238,1051161,631
265515,172172,595
1014319,722724,301
653013,337530,618
863887,897315,224
403795,597538,478
240843,510230,471
924566,230416,984
741694,627778,129
1002885,558248,510
1089165,217308,672
979975,1023874,489
1046519,1004048,261
517737,908365,633
214286,532780,642
286641,926068,884
571256,638663,771
904046,1085890,604
473106,322081,145
260098,1020991,178
149587,802070,66
438732,619591,836
480902,250787,209
714847,224975,313
326591,1023575,202
864492,833947,351
834142,331500,40
475676,343776,885
155460,119845,709
977709,645768,588
327377,800814,57
707540,422942,518
1070282,207379,402
452872,379793,865
556795,550105,537
249116,163039,502
661380,749375,993
480475,986306,941
1005973,483968,305
506905,1059654,360
265990,620941,805
537612,551834,597
242908,1026531,112
855929,100797,884
681704,1027960,641
309836,659551,85
1003908,842000,931
143047,891927,426
1084638,549195,504
125379,447111,895
218656,184108,534
101728,435977,619
516126,446581,64
1079955,176070,320
566040,490647,161
426250,987211,694
803893,746626,535
511997,133121,901
127182,931251,924
299692,258008,633
244271,872622,353
1009192,344598,263
638486,328525,521
1061535,165191,934
932136,489436,743
214409,450317,128
706009,636893,375
385772,144716,742
487356,995949,506
143460,502439,793
310221,270576,53
1029783,218327,756
928208,934516,193
917497,395658,380
451164,192110,84
219232,346832,895
245315,318477,308
537731,754382,767
310039,634493,389
476691,854709,441
478269,210517,303
472162,823920,595
394909,209485,852
570109,498649,563
826266,864252,223
172961,1067160,712
1066133,587125,12
948358,412289,603
477050,534207,173
879642,540241,36
598669,591107,184
1082597,346533,376
776689,765818,691
913149,681933,885
617974,792027,734
980726,593736,446
915470,1029090,788
172664,667034,232
528132,757949,631
970288,162750,378
776850,203416,412
447866,756909,836
202607,902449,985
588220,748097,286
695096,909153,929
554200,738386,273
677576,720966,326
1058023,253622,681
132835,641978,931
120729,876981,335
585538,745598,347
280192,1073609,996
448945,629457,595
590614,697816,325
886086,997775,321
872517,605483,85
956386,735767,630
703873,175258,526
1033978,942091,249
614398,734701,388
754540,688376,578
173519,941992,227
519446,268904,629
446901,519683,673
729446,261300,980
306552,566218,884
151403,294178,37
425605,499295,700
326167,397968,550
429027,600149,126
585530,1016965,286
212182,933232,803
610659,524205,340
324136,363505,650
627766,903375,860
672307,502590,734
829274,609794,185
654262,896782,206
935774,448314,310
389946,191916,546
425253,839020,621
268188,340272,34
903041,112480,789
561210,481297,495
648918,890411,107
253099,889052,116
163096,970047,800
622051,536060,49
820499,1066353,267
249024,1074534,240
617666,461349,888
714335,509963,954
1076774,226395,269
481448,656353,34
121127,724398,220
267590,938351,840
1042924,932937,446
688357,897898,93
347443,826096,109
546167,474439,554
983264,498833,18
269910,481497,600
782198,233280,506
877001,198366,397
443531,742103,54
1067195,227853,463
723614,106454,717
678568,820491,840
334867,460801,672
454558,287835,852
179417,327444,116
243077,625068,607
1024485,731215,734
402198,518236,928
467409,110125,485
695151,744968,123
824264,1091599,569
155117,128344,861
109325,858985,993
579653,100807,695
1093192,377206,894
883242,600858,293
871721,1029645,165
628244,216406,10
669316,701138,86
203378,1069465,567
470778,696352,262
1019910,598116,624
340829,398244,544
238288,617352,279
346058,429776,151
502584,365499,792
443715,820499,592
524443,701315,826
440116,390716,675
371957,363589,883
1066277,981571,956
1035647,511839,744
710499,478099,825
939017,555172,872
772157,296396,565
219421,802197,97
791476,800482,291
676916,1079285,304
554558,867662,968
982228,492307,371
186094,363315,685
1085576,542825,328
854116,290410,763
591017,847015,238
879394,291993,31
422422,881096,119
910046,591891,271
714699,840657,979
321516,473681,526
606474,957068,474
663394,206155,626
568760,473708,686
721101,126155,537
943455,570270,190
642837,349490,34
359236,638208,264
313707,285903,269
271733,323705,663
969694,379969,826
799168,292783,389
701167,308483,657
470598,421536,377
929166,110300,455
295936,1080642,369
146370,1075473,298
977023,915269,371
993782,888334,535
453821,573336,788
610796,599470,445
297844,834432,595
254029,1048982,950
293666,934259,806
784530,514749,525
906867,503473,860
1079748,748710,14
1070378,763878,991
343379,954395,45
731010,319868,503
542065,941300,100
820847,666087,650
539142,885756,293
840301,487143,955
267036,150577,873
851910,718005,804
347098,940859,989
633599,190618,159
517682,648095,881
632782,1022318,151
243474,1017720,487
115993,811835,907
300363,1060935,987
651665,251193,214
1029156,988578,442
869288,741164,445
248290,289423,919
640073,854098,708
387895,559068,255
928057,890730,41
700889,594546,604
107148,818815,584
557886,948548,589
396399,495500,989
117806,109138,61
621963,654166,871
208379,174808,321
670940,877085,727
181702,187248,110
486077,108785,77
309276,394682,526
421557,839198,735
367708,883716,115
745505,369016,525
956212,566235,764
859240,374245,857
885263,735023,840
223401,320977,493
209182,529916,790
1063697,708948,480
261902,165653,557
387514,269039,529
942204,691159,128
103313,759166,999
264296,672208,351
870104,324540,374
553744,636197,394
350023,660068,961
538620,864136,435
966568,607980,764
417596,871425,165
474656,228175,831
306370,615846,746
247765,397415,491
183524,1072562,992
1095378,546258,839
579260,344047,271
874332,482970,85
858213,1056399,640
392558,771367,612
412165,438133,745
1001004,806436,554
552952,148227,764
494811,406507,634
949756,788720,287
913390,259552,440
302577,777592,400
571687,1098688,430
709141,197363,813
783083,683740,884
249942,912153,141
583680,115206,181
584453,753667,488
909396,100893,493
1077284,292664,178
675081,737342,898
614608,886154,554
1011875,475220,395
128941,356631,23
324111,491012,256
250169,852914,293
485863,163242,745
327888,856523,400
528035,1024432,266
716173,373589,240
826277,634603,712
431067,263362,781
988937,234512,308
441748,877848,942
168802,754714,272
1045643,807790,813
513302,119308,455
309981,975583,179
453765,715098,731
822565,731970,117
615328,513246,735
475181,989027,485
220258,879740,219
700217,633633,956
213975,639413,268
384716,759464,491
680091,798257,132
886524,302111,971
218618,877294,962
382388,698259,850
1036007,363542,181
704775,772456,603
814316,670071,566
1090271,798944,898
113533,525727,875
135416,623301,444
982188,651785,70
445300,1097273,743
936146,410729,909
171116,692486,314
1005675,549256,899
352278,528106,295
458631,249385,944
805215,867009,520
956032,406849,393
735954,159610,91
903526,672435,976
994473,383361,578
489536,407944,284
123754,393819,635
352211,276527,209
166814,957571,723
687729,216692,142
685386,981706,630
827913,665446,329
383049,251233,163
910052,1032640,872
405519,794746,308
512578,735213,828
454924,562842,262
1074474,208392,929
858871,1081585,818
974593,683764,374
242720,1016434,171
843431,563749,914
1027186,567038,330
725234,893687,664
481005,291451,604
243338,470894,514
677259,755402,538
460151,403718,286
1015566,715902,137
773799,1071765,257
708218,470931,366
232519,1000442,95
238124,959483,408
883108,674978,843
957457,332288,244
1048183,110207,208
514236,177748,798
204438,942679,802
462857,377686,394
1000419,737153,49
590494,886609,176
550456,1012456,717
169457,324368,455
814702,707068,962
588252,586309,955
623225,997917,457
781178,794836,871
199982,816748,359
578820,574422,142
363963,893071,931
281322,530122,912
602092,980117,756
344044,1030690,93
142437,419076,633
352035,534672,411
469327,445496,202
926792,964741,907
441366,953072,149
713624,841873,926
590432,220508,485
851122,928640,271
202177,268881,624
531796,654011,773
500913,1048125,19
878334,779772,899
1012063,564270,210
262830,281175,867
177248,109531,348
1055231,697908,740
815111,388981,751
525716,907834,542
148096,394922,940
164707,947641,979
281058,221046,265
696827,386402,797
481823,1056537,500
491759,1015960,625
849347,406088,748
945961,975268,626
200426,346697,824
943135,907167,547
735835,577535,923
180008,255178,162
858164,280661,448
829093,374789,737
627538,1000080,823
256720,888514,451
603295,988352,170
578693,293039,90
195706,187914,578
559095,111225,955
411994,313095,141
119122,608855,379
367461,899129,841
1089407,745550,46
797009,486668,654
511632,335119,127
328286,412130,368
817028,972842,618
176300,1001188,549
1083118,580332,480
587261,431389,447
1039657,154869,388
322486,319302,440
333543,917319,210
684379,434075,773
912967,409643,842
416998,485977,231
544189,153894,166
956781,461821,278
296249,196629,342
749698,476641,390
959449,410560,214
191541,716757,862
572302,127452,895
620199,975118,769
968714,520229,798
666523,914948,498
386388,966848,572
943342,946281,83
155552,852036,315
1052195,398201,289
839557,1020334,418
735281,273059,393
739053,957327,215
868864,993034,385
1024857,139192,37
187252,1075908,996
1002848,894466,698
894094,895737,543
844593,1022630,195
1075752,384949,817
351366,531721,914
295780,677197,530
843427,993585,26
166353,998835,703
838951,1096071,301
196047,180178,425
1041775,391384,502
410191,439833,323
622018,830267,909
431332,113592,582
615108,590163,717
281858,884176,27
450605,623238,776
592757,789516,229
241848,1011117,776
318479,890461,498
826964,294160,389
205484,456158,566
479115,416054,900
341384,1027407,748
422740,725137,726
341181,369719,379
452766,452894,304
511921,436365,118
661308,880692,345
841405,628990,689
816126,969701,343
229413,208640,179
820520,621343,670
934809,211503,563
799438,134390,933
139360,767466,52
395139,131158,692
802217,161087,161
148574,173468,867
909406,690763,347
776671,544069,853
132395,846808,305
950991,342228,316
414120,791475,48
1062843,272100,888
833363,694580,773
478632,368010,127
583991,946737,920
194457,164093,98
566983,366561,673
396225,131944,669
869818,670111,149
503425,248274,545
750576,719704,561
715409,165136,921
620794,787792,306
565791,216226,681
772789,815107,505
613022,653490,679
326246,519839,262
400445,391763,224
1097865,872914,328
892040,154945,324
885105,463005,855
1033446,447794,616
739436,785793,176
1009530,187015,387
596511,345439,235
988447,1072095,372
394360,1094449,229
476214,821856,933
943912,600106,250
106827,315532,565
388377,272680,347
806085,784524,784
487611,924100,749
810211,127980,516
529063,856431,64
647488,919654,299
485420,1015073,723
872343,362673,673
291415,864911,503
477638,639546,52
867698,492911,637
820685,178357,223
240980,647152,306
806786,182138,690
451087,924870,347
1016955,944579,732
282229,373910,886
1097056,825688,917
449691,998455,803
643564,466871,297
304784,885122,493
216084,206008,501
1004643,939575,58
488212,865737,511
764916,382634,40
250831,676869,462
563891,224944,144
306393,298544,625
819068,248349,953
141832,792683,172
984699,629998,854
589927,786025,701
802054,1047038,392
472683,207404,278
816470,1067049,652
566455,562527,16
133899,635811,302
1054696,674771,979
281070,149564,310
1072932,354349,627
740305,1089874,544
319394,236366,697
738051,291944,294
558579,634439,311
678788,248672,903
506747,434144,806
681364,147341,441
770854,776320,189
579562,677487,893
400257,1005116,388
134493,612400,860
355523,716525,766
967037,511114,362
177279,547254,245
348103,346986,566
425903,148654,93
718491,1062823,603
116266,741595,805
676326,622522,271
567018,613781,91
946401,515776,582
128046,1093160,813
267939,608625,866
497647,1043496,876
1032479,1061335,179
1056541,180639,632
553667,891005,331
800370,678794,623
279276,944653,380
451580,1088765,847
787399,636061,503
1020925,545598,302
294241,143079,329
1037170,582545,305
988027,116904,636
1035503,901715,541
584682,683493,159
828118,825391,799
678099,840067,30
800218,334244,93
916801,1050119,713
224924,465737,558
921208,1098597,924
959297,414975,108
381053,104998,48
817380,440999,987
146025,577937,145
247092,686959,506
196495,572722,926
281255,801461,139
907013,502424,44
312848,536091,590
774164,205654,68
858246,123330,984
432429,120143,873
199967,372309,456
333070,218670,741
675704,908753,498
351502,1005788,913
213840,1010423,573
640437,1095082,470
944281,976464,363
518021,768353,842
426524,347824,946
878323,438345,903
651602,702126,345
518500,996299,624
687422,102886,275
825013,619451,706
519281,724497,702
154394,494722,270
313556,893244,231
173924,627804,176
715342,1081004,396
218231,953909,674
365983,761339,14
912955,418577,66
914207,552951,34
130902,197256,53
650589,302741,610
333946,1035402,412
276833,520448,281
482459,228325,860
270151,692429,192
998337,934363,228
325483,797351,425
923300,681381,125
690610,670203,146
929600,362944,417
435608,156527,40
294853,1037154,322
481550,472564,803
189459,166260,951
606681,968504,955
622707,1057315,755
223294,477519,674
913203,632629,317
929310,1099730,254
447819,524971,392
706523,771275,446
231951,966302,393
893927,986163,116
807348,295206,230
1047504,141524,969
1031425,374889,449
992179,636433,400
215272,488185,538
276187,244908,168
147235,592265,608
466700,638610,763
108312,969389,911
149415,383855,203
108682,784041,996
381365,933928,171
150326,167551,707
266121,1073592,120
309459,249035,813
802105,255618,516
529172,1071567,930
890726,605416,177
1071650,980232,24
1087321,287717,804
846514,769708,243
1096807,251725,387
709490,151208,935
885786,315873,652
298910,190336,730
1034335,910503,264
180557,762918,582
151473,976680,316
1064700,984166,416
932290,963598,188
562340,757322,435
886996,1078337,344
192174,239884,679
662730,490936,757
559874,805803,702
211686,515298,283
330453,425358,818
298353,1013087,651
556579,309768,881
905287,772324,374
678717,683482,669
247949,873480,159
1074538,236043,924
699710,543256,141
960224,309761,69
756501,245542,494
1000183,913762,782
257484,262399,854
925386,589609,848
858165,706726,813
205022,472706,363
823318,904094,21
226338,254356,963
294232,121676,10
664892,782018,92
279735,817144,565
1097489,253908,928
919290,369795,804
730349,651032,584
355560,157597,68
325059,605142,31
449392,876219,252
798689,1019131,62
464148,154792,625
757266,1033040,543
461950,220403,434
346964,637341,407
597188,1015630,173
376907,376145,949
723996,376223,794
878692,989196,659
351148,730009,232
269969,599660,392
1029005,333739,815
167301,491180,49
360985,864381,49
364710,289096,725
476516,324133,361
135256,894876,836
807424,259721,622
481489,333582,224
356765,546498,501
686818,786539,957
919916,114055,65
482337,1047288,516
307484,345471,231
718176,1036926,541
1095692,577511,204
1086488,386363,483
686157,631088,331
1088063,1063432,928
635422,1051036,864
830827,299929,622
856224,582815,540
690738,789805,55
257412,331282,419
599662,931406,903
178792,135762,947
525220,178748,152
126185,327743,852
681238,146205,411
185304,413176,979
981589,719695,638
469976,979933,914
451295,160190,514
467490,897509,504
1070537,101258,627
322018,623234,777
898644,969838,546
538740,1004097,555
934563,976437,598
1067890,655822,112
943989,440475,958
331224,536519,934
654168,710462,706
321015,721675,762
799355,929843,322
474927,938097,493
1021064,103767,990
611189,923227,188
1007231,693776,397
483923,198330,146
921967,753393,897
463600,320594,95
483521,731850,19
854735,210117,302
253634,576155,445
521662,841708,689
577678,359905,52
768644,644449,851
435293,234115,160
804209,855649,193
1019585,1014030,229
485986,164726,784
181151,620046,156
923686,827165,227
525299,256429,519
637639,425090,796
170529,400286,284
289396,790675,222
146037,402833,639
301441,416836,977
1012931,1042088,179
860540,639033,998
448770,478956,162
127523,653315,262
435630,266680,782
715666,627095,491
532411,112737,946
843854,966191,637
413985,763659,528
766286,566080,834
223059,497904,757
410951,829613,162
624810,127376,305
908474,204523,105
168849,722373,489
863736,620601,746
539389,508355,953
866336,332451,386
333244,645990,149
204942,666732,507
477354,611758,300
430775,1035489,585
1021914,458752,761
863541,927718,474
752817,557253,658
482033,969859,247
852377,924181,203
130490,803789,665
456632,1071590,661
828972,813278,147
252567,861771,362
651141,944380,599
604069,699699,886
953404,357046,639
376069,671580,408
266106,874368,516
665295,1001364,672
524250,278166,958
1092078,117406,803
106293,175684,651
687126,845525,622
808243,1021378,224
693087,847286,811
1018663,982228,393
355546,761056,186
1004439,414994,530
436199,997734,62
1051608,762183,610
136016,770207,859
758917,683873,333
900358,777913,45
179329,674367,63
925113,145914,723
501143,530539,833
328491,759567,906
293965,1038931,110
1059061,221680,469
634071,987196,211
100317,431313,514
332213,230356,594
559804,759069,519
110310,716364,78
856388,250234,297
473919,829428,294
190324,794384,821
506189,1072561,798
953353,204616,56
346137,125579,526
972262,302094,368
313066,686261,454
358304,559942,317
418910,336380,436
233555,682608,804
401601,308686,972
287663,458496,994
830957,140733,594
413740,670365,449
1016932,718579,156
758223,755530,55
908842,394044,614
168871,537453,558
385417,355539,373
739575,445109,942
872667,1016741,444
117236,423522,76
567471,603114,381
698241,463319,62
744231,1021321,589
870999,529483,953
375860,1075637,214
1030092,859198,742
461750,989153,835
769240,980800,501
158718,304780,921
884745,137657,187
704424,839672,664
116573,395132,882
197899,167958,738
995098,1079883,111
1051580,710703,282
725665,131235,455
764704,427935,188
691549,579446,266
201671,816355,559
927429,927257,950
239827,709838,972
416271,855143,451
530006,417010,92
172108,915844,913
827773,129083,570
981524,218252,103
141866,963107,928
996973,930087,896
700872,840358,377
162395,553463,62
178966,210923,924
258569,506978,281
350233,536010,960
516455,854517,687
663423,892948,257
756740,512402,374
1079778,233176,501
821297,174519,930
985655,147777,361
121784,955978,692
873039,334024,818
866994,518884,609
883774,211861,975
642636,735219,496
993682,642705,445
1030725,374338,500
870111,899194,230
420459,655439,738
331542,472385,42
308849,652616,883
173420,226118,882
296152,498509,918
573317,973232,525
324172,904330,465
517535,164160,365
243623,831184,657
600894,297942,965
1095811,843271,105
655765,373000,210
313423,989066,312
287774,577028,878
861567,1022682,843
451119,166365,138
1082403,747511,461
792689,976120,685
541803,777155,186
192719,1067201,90
147495,887681,656
441982,724626,198
515545,1016922,267
243189,911936,95
1083912,348663,573
165493,681004,170
178826,366168,186
876925,584726,21
979820,495410,679
1044927,427086,613
732948,107081,622
717630,1028726,907
216879,520012,142
223016,733126,972
675431,667226,779
497032,521519,142
401271,469702,136
820723,575390,853
923505,165315,171
364482,346034,250
239463,650494,498
280962,451567,321
357672,487065,737
440038,485432,761
940792,895954,936
633448,906011,469
249518,1091259,248
215906,406215,708
638894,725341,438
636693,745824,486
699863,360863,461
228501,350299,642
535853,213460,283
1060517,994896,673
286926,820417,698
415916,832361,478
142963,473924,408
121998,615973,40
123038,839343,756
680672,244359,352
667881,622707,528
359404,286777,527
348758,1063164,741
890068,217072,112
473499,339544,903
396147,543579,504
522892,800071,534
161495,594669,849
496975,958081,611
547577,879749,358
423946,988463,710
217916,855190,363
343290,406921,488
306981,558963,133
151055,1003869,811
412441,383230,70
677781,922619,547
953728,745430,336
935412,354486,274
829035,157876,936
395477,764111,267
203167,641965,25
566904,229668,177
106189,1013742,89
351810,626182,311
1058866,314236,124
412190,938056,58
871064,540169,589
